run_time,spot,expiration,strike,bid,ask,last,volume,iv,delta,gamma,theta,vega
2026-07-13 17:41:07,712.38,2026-07-13,707.0,5.25,5.76,5.85,799,0.319,0.9288,0.03683,-0.125,0.0158
2026-07-13 17:41:07,712.38,2026-07-13,708.0,4.48,4.61,4.61,1397,0.294,0.9024,0.05065,-0.165,0.02
2026-07-13 17:41:07,712.38,2026-07-13,709.0,3.56,3.6,3.6,1649,0.2588,0.8719,0.06988,-0.2,0.0242
2026-07-13 17:41:07,712.38,2026-07-13,710.0,2.69,2.77,2.88,7697,0.2531,0.7934,0.09739,-0.35,0.0331
2026-07-13 17:41:07,712.38,2026-07-13,711.0,2.02,2.05,2.12,7864,0.2637,0.6762,0.11768,-0.655,0.0416
2026-07-13 17:41:07,712.38,2026-07-13,712.0,1.41,1.43,1.4,28274,0.2633,0.5515,0.12974,-1.04,0.0458
2026-07-13 17:41:07,712.38,2026-07-13,713.0,0.83,0.84,0.84,77749,0.2411,0.4141,0.13956,-0.835,0.0451
2026-07-13 17:41:07,712.38,2026-07-13,714.0,0.46,0.47,0.47,146640,0.2348,0.2775,0.12327,-0.465,0.0388
2026-07-13 17:41:07,712.38,2026-07-13,715.0,0.28,0.29,0.25,201434,0.2481,0.1826,0.09217,-0.285,0.0307
2026-07-13 17:41:07,712.38,2026-07-13,716.0,0.12,0.13,0.17,224387,0.2386,0.0964,0.06186,-0.125,0.0198
2026-07-13 17:41:07,712.38,2026-07-13,717.0,0.09,0.1,0.1,227980,0.2679,0.0695,0.04303,-0.095,0.0155
2026-07-13 17:41:07,712.38,2026-07-13,718.0,0.06,0.07,0.07,254360,0.2881,0.0471,0.02949,-0.065,0.0114
2026-07-13 17:41:07,712.38,2026-07-13,719.0,0.04,0.05,0.02,165489,0.3073,0.0324,0.02036,-0.045,0.0084
2026-07-13 17:41:07,712.38,2026-07-13,720.0,0.01,0.04,0.03,191498,0.3143,0.0189,0.01266,-0.025,0.0053
2026-07-13 17:41:07,712.38,2026-07-13,721.0,0.01,0.04,0.03,76306,0.349,0.0172,0.01054,-0.025,0.0049
2026-07-13 17:41:07,712.38,2026-07-13,722.0,0,0.03,0.01,65591,0.34,0.0077,0.00539,-0.01,0.0025
2026-07-13 17:41:07,712.38,2026-07-13,723.0,0,0.03,0.01,27550,0.3707,0.0071,0.00461,-0.01,0.0023
2026-07-13 17:41:07,712.38,2026-07-13,724.0,0,0.03,0.01,28068,0.4012,0.0066,0.004,-0.01,0.0022
2026-07-13 17:41:07,712.38,2026-07-13,725.0,0,0.01,0.01,57900,0.4313,0.0062,0.00351,-0.01,0.002
2026-07-13 17:41:07,712.38,2026-07-13,726.0,0,0.01,0.03,11998,0.5287,0.014,0.00582,-0.03,0.0041
2026-07-13 17:41:07,712.38,2026-07-13,727.0,0,0.03,0.01,15079,0.4908,0.0055,0.00278,-0.01,0.0018
2026-07-13 18:50:16,712.87,2026-07-13,698.0,14.44,15.13,14.5,171,,,,,
2026-07-13 18:50:16,712.87,2026-07-13,699.0,13.75,13.77,13.62,139,,,,,
2026-07-13 18:50:16,712.87,2026-07-13,700.0,12.78,13.13,12.57,256,0.8439,0.9699,0.00984,-0.085,0.0056
2026-07-13 18:50:16,712.87,2026-07-13,701.0,11.45,12.14,11.36,200,,,,,
2026-07-13 18:50:16,712.87,2026-07-13,702.0,10.53,10.98,10.36,169,,,,,
2026-07-13 18:50:16,712.87,2026-07-13,703.0,9.6,10.12,9.68,258,,,,,
2026-07-13 18:50:16,712.87,2026-07-13,704.0,8.51,8.9,8.69,295,,,,,
2026-07-13 18:50:16,712.87,2026-07-13,705.0,7.63,8.109,7.58,396,,,,,
2026-07-13 18:50:16,712.87,2026-07-13,706.0,6.78,7.15,6.43,473,0.5157,0.9489,0.02479,-0.095,0.0086
2026-07-13 18:50:16,712.87,2026-07-13,707.0,5.76,6.07,5.61,1267,0.3901,0.9674,0.02275,-0.045,0.006
2026-07-13 18:50:16,712.87,2026-07-13,708.0,4.72,5.06,4.6,1912,0.2862,0.9814,0.0194,-0.02,0.0037
2026-07-13 18:50:16,712.87,2026-07-13,709.0,3.72,4,3.73,2949,,,,,
2026-07-13 18:50:16,712.87,2026-07-13,710.0,2.82,3.04,2.82,16360,0.2336,0.9335,0.06726,-0.06,0.0106
2026-07-13 18:50:16,712.87,2026-07-13,711.0,2.009,2.04,2.05,19002,0.2257,0.8447,0.12876,-0.1545,0.0196
